Nombre,Biografía
Carlos Santana,"Carlos Santana es un guitarrista, compositor y músico mexicano-estadounidense, conocido por su fusión de rock, blues y música latina. Nació en Autlán de Navarro. Es considerado uno de los mejores guitarristas de todos los tiempos."
Diego Torres,"Diego Torres es un cantante y actor argentino, conocido por su música pop y sus baladas románticas. Ha vendido millones de discos en todo el mundo y es conocido por éxitos como «Color Esperanza»."
Jesse & Joy,"Jesse & Joy son un dúo mexicano de música pop, formado en 2005 por los hermanos Huerta, Jesse y Joy en la Ciudad de México. Son conocidos por sus baladas pop y han ganado varios premios Grammy Latinos."
Chayanne,"Chayanne es un cantante, compositor, bailarín y actor puertorriqueño, conocido por sus éxitos en los géneros de pop y balada. Nació en San Lorenzo. Como solista, ha lanzado 22 álbumes de estudio y se estima que ha vendido unos 40 millones de discos a nivel mundial lo que lo convierte en uno de los artistas latinos con mayores ventas."
Maná,"Maná es una banda mexicana de rock en español, formada en 1986 en Guadalajara. Han ganado varios premios Grammy Latinos y son conocidos por éxitos como «Labios Compartidos» y «En el Muelle de San Blas»."
Gustavo Cerati,"Gustavo Cerati fue un músico, cantante, compositor y productor argentino, conocido como el líder de la banda de rock Soda Stereo. Nació en Buenos Aires. Es considerado uno de los músicos más influyentes del  rock latinoamericano."
Celia Cruz,"Celia Cruz fue una cantante cubana conocida como la Reina de la salsa. Nació en La Habana. A lo largo de su carrera, Celia Cruz interpretó y popularizó internacionalmente ritmos tropicales como el son cubano, son montuno, guaguancó, la rumba, la guaracha y el bolero. Sin embargo, le llevó al estrellato el género conocido como salsa que es una mezcla de son cubano y otros estilos musicales y es considerada una de las artistas más importantes en la historia de la música latina."
Caetano Veloso,"Caetano Veloso es un cantante, compositor y músico brasileño, considerado uno de los fundadores del movimiento tropicalista en la música brasileña. Nació en Santo Amaro da Purificacao. También es cineasta y poeta. Es hermano de la cantante Maria Bethania."
Rubén Blades,"Rubén Blades es un cantante, compositor, actor y político panameño, conocido por su música salsa y sus letras políticas. Ha ganado varios premios Grammy y Emmy."
Vicente Fernández,"Vicente Fernández fue un cantante, actor y productor mexicano, nació en Guadalajara. Su trabajo en la música le valió varios reconocimientos como dos premios Grammy, ocho premios Grammy Latinos, catorce premios Lo Nuestro y una estrella en el paseo de la fama de Hollywood. En abril de 2010, alcanzó la cifra de 60 millones de copias vendidos en todo el mundo."
Café Tacvba,"Café Tacvba es una banda mexicana de rock alternativo, formada en 1989. Además del éxito comercial y de crítica que han logrado, el grupo es reconocido por su proyecto cultural vanguardista el cual mezcla el rock y sus temas habituales con letras, historias y sonidos extraídos de la cultura popular mexicana."
Los Tigres del Norte,"Los Tigres del Norte es una banda mexicana de música regional mexicana, formada en 1968. Son conocidos por sus corridos y canciones sobre la vida en la frontera entre México y Estados Unidos."
Pedro Infante,"Pedro Infante fue un cantante y actor mexicano, considerado uno de los íconos de la Época de Oro del cine mexicano. Por su actuación en la película Tizoc (1956), fue ganador de un Oso de Plata del Festival Internacional de Cine de Berlín en la categoría a «mejor actor principal», y también obtuvo un premio Globo de Oro​ por mejor película extranjera, el cual se le fue otorgado por la prensa extranjera acreditada en Hollywood."
Silvio Rodríguez,"Silvio Rodríguez es un cantautor y guitarrista cubano, nació en San Antonio de los Baños. Es conocido por sus letras poéticas y su compromiso político y por ser exponente característico de la música de su país surgida con la Revolución cubana, conocida como la Nueva Trova, que comparte con otros reconocidos cantautores tales como Pablo Milanés, Noel Nicola y Vicente Feliú."
Shakira,"Shakira Isabel Mebarak Ripoll, colombiana. Es una cantante, compositora, bailarina, actriz y empresaria colombiana. Nació en Barranquilla. Apodada como la «Reina del pop latino» por su alto nivel de ventas, versatilidad vocal, sus éxitos en sus canciones del género pop e influencia global."
Karol G,"Carolina Giraldo Navarro, conocida artísticamente como Karol G, es una cantante colombiana, compositora, actriz, productora y empresaria colombiana. Nació en Medellín. Su trayectoria se ha destacado principalmente por emplear los géneros de reguetón, y trap latino , aunque también ha incursionado con otros estilos musicales urbanos y latinoamericanos."
Anitta,"Larissa de Macedo Machado, nacida en Río de Janeiro, más conocida por su nombre artístico Anitta, es una cantautora, bailarina, actriz y empresaria brasileña.​ Nació en rio de janeiro. Alcanzó la fama en Brasil y Portugal, gracias a sus canciones caracterizadas en los generos del Funk, reguetón, pop latino, pop y Funk melody."
Juanes,"Juan Esteban Aristizábal Vásquez, conocido por su nombre artístico Juanes, nació en Medellín y es un cantante, compositor, músico y diseñador industrial colombiano de pop latino y rock en español que combina diversos ritmos musicales."
Luis Miguel,"Luis Miguel Gallego Basteri, conocido como Luis Miguel, es un cantante y productor mexicano. Nació en San Juan. Reconocido por su poderosa voz y su presencia escénica, es uno de los cantantes más exitosos de la música en español. Ha cantado en múltiples géneros y estilos, incluyendo canciones pop, baladas, boleros, tangos, jazz, big band y mariachi."
Maluma,"Juan Luis Londoño Arias, conocido por su nombre artístico Maluma, es un cantante y compositor colombiano. Nació en Medellín. Saltó a la fama en su país natal en 2011, gracias a los sencillos de género reguetón «Farandulera», «Obsesión», y «La temperatura»; y con «Carnaval» (2014), en el resto de América Latina."
Carlos Vives,"Carlos Alberto Vives Restrepo, conocido como Carlos Vives, nació en Santa Marta, es un cantautor, productor discográfico, filántropo y actor colombiano, uno de los pioneros de la internacionalización del vallenato. Ha ganado dos premios Grammy y quince premios Grammy Latinos."
Bad Bunny,"Benito Antonio Martínez Ocasio, conocido artísticamente como Bad Bunny, es un cantante, compositor, productor musical y peleador aficionado de lucha libre puertorriqueño.​ Nació en Vega Baja. Sus estilos musicales son generalmente definidos como reguetón y trap latino, aunque también ha interpretado otros géneros y estilos variados."
Peso Pluma,"Hassan Emilio Kabande Laija, conocido como Peso Pluma, es un cantante y compositor mexicano. Nació en Zapopan. Se especializa en los géneros de corridos tumbados, reguetón y trap latino"
Morat,"Morat es una banda colombiana de pop latino formada originalmente en Bogotá el 13 de diciembre del 2011. Se dieron a conocer en 2015 con su canción «Mi Nuevo Vicio». Sus integrantes son Juan Pablo Isaza Piñeros, Juan Pablo Villamil Cortés, Simón Vargas Morales y Martín Vargas Morales."
Feid,"Salomón Villada Hoyos​ (Medellín, Antioquia; 19 de agosto de 1992), conocido artísticamente como Feid o por su alter ego Ferxxo,​ es un cantante, compositor y productor discográfico colombiano."
Silvestre Dangond,"Silvestre Francisco Dangond Corrales (Urumita, 12 de mayo de 1980)​, es un cantante, compositor, actor y presentador de televisión colombiano. Es considerado como uno de los principales cantantes y compositor del Vallenato de la Nueva Ola."
Rikarena,"Rikarena es una agrupación merenguera que se popularizó en la década de 1990, sobre todo en Venezuela, Colombia y la República Dominicana. La agrupación fue formada en el año 1994 por el también merenguero Kinito Méndez, que como respuesta a que no producía merengues con buenas letras, decidió formar un grupo de jóvenes que cantaran merengue con dosis de amor y al mismo tiempo bailables."
Grupo Niche,"El Grupo Niche es un grupo de salsa colombiano. Fue fundado por Jairo Varela y Alexis Lozano en Bogotá en 1979.​ Fue creado allí por la facilidad de crear una agrupación en la época. En 1983 la agrupación se radicó en Cali, departamento del Valle del Cauca, ciudad de la orquesta."
Gilberto Santa Rosa,"Gilberto Santa Rosa Zantana (Santurce; 21 de agosto de 1962) es un cantante puertorriqueño de salsa. Apodado: El Caballero de la Salsa. Interprete de salsa, baladas románticas y boleros. Inicio su fama artística siendo vocalista en la Orquesta de Willie Rosario a sus 19 años de edad, canciones como La Mitad, Lluvia, Cuando se Canta Bonito, entre otros."
Maelo Ruiz,"Ismael Ruiz Hernández (Nueva York, 22 de octubre de 1966) conocido como Maelo Ruiz, es un cantante de salsa estadounidense de ascendencia puertorriqueña. Inicio su carrera artística en la Orquesta de Pedro Conga a sus 17 años, interpretando temas como Noche de Mar, Tu Forma de Amar, Igual Que Una Fiera, entre otras."
